Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
7/01/2021,32106,32295,32034,32078.8,nan,nan,29000.1,-654.05,540.05,0,1,0.139345
6/01/2021,31875,32089.7,31662.5,31903.1,nan,nan,29000.1,-654.05,548.65,0,1,0.754159
5/01/2021,31130,31844,31011.1,31798.8,nan,nan,29000.1,-654.05,544.55,1,1,2.47698
4/01/2021,31450.2,31599,30930.8,31326.5,nan,nan,29000.1,-654.05,524.05,1,1,1.26331
1/01/2021,31250,31425,31250,31309.4,nan,nan,29000.1,-654.05,537,1,1,0.18956
31/12/2020,31284,31427.9,31079,31281.2,nan,nan,29000.1,-654.05,550.9,1,1,0.646235
30/12/2020,31489,31549.5,31030,31338.2,nan,nan,29000.1,-654.05,568.95,0,1,0.983622
29/12/2020,31060,31417,31022,31360.1,nan,30998,29000.1,-654.05,566.2,0,1,1.07812
28/12/2020,30552,30975.4,30552,30928.3,nan,30998,nan,5546.95,561.65,0,1,1.21652
24/12/2020,30041,30576.9,30021.6,30437.2,nan,30998,nan,5546.95,571.05,0,1,1.36543
23/12/2020,29580.2,29950,29472.3,29908.5,nan,30998,nan,5546.95,589.7,0,0,1.45845
22/12/2020,29515,29760,29000.1,29646.6,29000.1,30998,nan,5546.95,604.45,0,0,2.45477
21/12/2020,30375,30597.8,29222,29418,nan,30998,30344,5546.95,608.4,0,0,0.66609
18/12/2020,30798,30865.5,30380.1,30735.8,nan,nan,30344,-1099,575.2,1,0,1.15712
17/12/2020,30841.9,30998,30652.2,30844.4,30998,nan,30344,-1099,597.75,1,0,0.622966
16/12/2020,30823.6,30925,30526.6,30770.5,nan,nan,30255,-1099,618.15,1,0,0.792642
15/12/2020,30700,30780.6,30344,30706.6,30344,nan,30255,-1099,629.05,1,0,1.18102
14/12/2020,30702.4,30890,30656.1,30788.4,30890,nan,30255,-1099,621.5,1,0,0.429707
11/12/2020,30675,30865,30337,30609.2,nan,nan,29202,-1099,650.25,1,0,0.889437
10/12/2020,30580,30690,30255,30621.8,30255,nan,29202,-1099,660.35,1,0,1.19768
9/12/2020,30400,30877,30355,30763.7,30877,nan,29202,-1099,676.65,1,0,1.32835
8/12/2020,30340,30449.9,30104.2,30314,nan,nan,29202,-1099,712.15,0,0,0.691925
7/12/2020,30165.2,30444,30021,30290.5,nan,nan,28901.1,-1099,737.15,0,0,0.889881
4/12/2020,29350,30277,29350,30191,nan,nan,28901.1,-1099,752.45,1,0,2.78544
3/12/2020,29543,29890,29436.7,29542.2,nan,nan,28901.1,-1099,734.55,1,0,0.357286
2/12/2020,29865.5,29912,29202,29603,29202,nan,28901.1,-1099,752.95,1,0,1.35459
1/12/2020,29785.2,29990,29526,29892.2,29990,nan,28901.1,-1099,757.65,1,0,1.22524
27/11/2020,29650,29780,29381.9,29667.2,nan,nan,28562.2,-1099,796.4,1,0,0.961837
26/11/2020,29300,29626.8,28901.1,29534.4,28901.1,nan,28562.2,-1099,812.1,1,0,2.14411
25/11/2020,29953,30190,29148.2,29208.7,30190,nan,28562.2,-1099,803.3,1,0,0.20713
24/11/2020,29200,29783,29151.2,29729.9,nan,nan,28562.2,-1099,806.05,0,0,1.94669
23/11/2020,29430,29641,28802.2,29010.4,nan,nan,27712.4,-1099,812.55,0,0,0.717674
20/11/2020,28949.2,29412,28562.2,29244.9,28562.2,nan,27712.4,-1099,805.6,0,0,2.3346
19/11/2020,29375.5,29608,28820,28912,nan,nan,27712.4,-1099,783.6,0,0,0.318379
18/11/2020,29050,29790,29037,29756.4,29790,nan,27712.4,-1099,758.4,0,0,2.41763
17/11/2020,28750,29213,28707,29151.9,nan,nan,27712.4,-1099,759.65,0,0,1.52614
14/11/2020,28500,28745,28451,28596.4,nan,nan,23565,-1099,747.55,1,0,0.508282
13/11/2020,28127.8,28568,27712.4,28511.9,27712.4,nan,23565,-1099,774.1,1,0,2.80409
12/11/2020,28655.4,28680.2,28085.6,28316.3,nan,nan,23565,-1099,761.65,0,0,0.814725
11/11/2020,28698.2,28999,28165,28815.7,28999,nan,23565,-1099,782.4,0,0,2.25814
10/11/2020,28000,28796.7,27832.3,28640,nan,nan,23565,-1099,781.25,0,0,2.82035
9/11/2020,27050,27594.4,27021.6,27523.2,nan,nan,23565,-1099,737.05,0,0,1.82228
6/11/2020,26249.9,26845,26115.2,26749.2,nan,nan,23565,-1099,726.25,0,0,2.36998
5/11/2020,26177.2,26363.2,26001,26296.6,nan,nan,23565,-1099,730.45,0,1,1.1241
4/11/2020,25588,25913.7,25091.8,25795,nan,nan,23565,-1099,725.1,0,1,2.7263
3/11/2020,25110,25735,25070.5,25669.5,nan,nan,23565,-1099,706.6,0,1,2.33389
2/11/2020,24245.2,25163.5,24100.5,24931.2,nan,24797,23565,-1099,692.15,0,1,3.33197
30/10/2020,24050,24277,23565,23924.5,23565,24797,nan,2010.3,658.85,0,1,1.50285
29/10/2020,23999.7,24341.3,23791,24081,nan,24797,nan,2010.3,668.4,1,0,1.20406
28/10/2020,23698,24795,23698,24214.2,nan,24797,23850.1,2010.3,662.85,1,0,2.13201
27/10/2020,24311,24797,23894.9,24741.4,24797,nan,22995.5,289.15,634.35,1,0,3.42159
26/10/2020,24520,24550,23850.1,24109.2,23850.1,nan,22995.5,289.15,628.6,1,0,1.07449
23/10/2020,24660,24789,24379.2,24537,nan,nan,22995.5,289.15,626.5,1,0,0.642907
22/10/2020,24500,24740,24307.9,24558,nan,nan,22995.5,289.15,645.9,1,0,1.01841
21/10/2020,24484,24880.7,24102.4,24665,24880.7,nan,22995.5,289.15,651.95,0,0,2.28077
20/10/2020,24165,24460.5,24086.4,24351.8,nan,nan,22995.5,289.15,640.5,0,0,1.08986
